NAME_1,NAME_2,wt_prev_diarrhea,wt_prev_diarrhea_pct,n_children,n_eff,ci95_low,ci95_high,ci95_low_pct,ci95_high_pct,area_km2,pop_total_wp19,pop_mean_ppp19,pop_density19_km2,ann_precip_mm_per_day_2019
Barisal,Barguna,0.0904875474864028,9.05,323.0,318.5486886254759,0.0589834607761247,0.1219916341966808,5.9,12.2,1315.0606359640817,897879.9375,5.427420829454647,682.7669484926502,10.54242665525114
Barisal,Barisal,0.1120101288109699,11.2,2250.0,2212.10628973995,0.0988673944401146,0.1251528631818253,9.89,12.52,2244.3036906752523,2255846.0,8.252048520675427,1005.1429355896461,10.54242665525114
Barisal,Bhola,0.28539447768119,28.54,440.0,435.4826938994164,0.2429787826678387,0.3278101726945413,24.3,32.78,1835.9239330082492,1855779.75,8.026867895638333,1010.8151632182364,10.54242665525114
Barisal,Jhalokati,0.0647330241198753,6.47,339.0,336.222362837151,0.0384319478023359,0.0910341004374146,3.84,9.1,717.4458893017841,674956.4375,7.529130552394975,940.7767854895167,10.54242665525114
Barisal,Patuakhali,0.1046631025386091,10.47,356.0,351.432200863407,0.0726575493035421,0.1366686557736761,7.27,13.67,2491.2971519277507,1613138.375,5.181791644314813,647.5094204445918,10.54242665525114
Barisal,Pirojpur,0.0256719906510678,2.57,320.0,317.0057156336846,0.0082617452845161,0.0430822360176195,0.83,4.31,1223.470026175929,1103032.5,7.384317991631799,901.560705534922,10.54242665525114
Chittagong,Bandarban,0.1022330022215186,10.22,347.0,139.4490535037698,0.0519494834364769,0.1525165210065603,5.19,15.25,4578.670567071044,515629.03125,0.8975375352702296,112.61544671029819,10.54242665525114
Chittagong,Brahamanbaria,0.041721848726037,4.17,461.0,459.7857781088826,0.0234448084144811,0.059998889037593,2.34,6.0,1919.3987470749767,3227870.25,14.67854268226135,1681.7090533788448,10.54242665525114
Chittagong,Chandpur,0.0838325657366989,8.38,323.0,318.0039024398474,0.0533723025901387,0.1142928288832592,5.34,11.43,1550.937927303792,2507410.0,14.242844240458513,1616.7055791581383,10.54242665525114
Chittagong,Chittagong,0.113660028889108,11.37,838.0,810.8751758019498,0.0918134660969871,0.135506591681229,9.18,13.55,4463.426263853801,8471665.0,15.247694846860078,1898.0183606047553,10.54242665525114
Chittagong,Comilla,0.0315452715346228,3.15,543.0,534.5335406166885,0.0167277561195131,0.0463627869497324,1.67,4.64,3087.463689415759,6005062.5,15.818156314947936,1944.982388160924,10.54242665525114
Chittagong,Cox'S Bazar,0.1149318088309809,11.49,449.0,446.9895007170263,0.0853642208645886,0.1444993967973731,8.54,14.45,2137.9732126120343,2693406.75,10.583255401831849,1259.7944324612813,10.54242665525114
Chittagong,Feni,0.0287153085532205,2.87,420.0,417.1710086834306,0.0126891650534311,0.04474145205301,1.27,4.47,898.6185243920398,1597137.625,14.430358288383523,1777.325507595721,10.54242665525114
Chittagong,Khagrachhari,0.1251540432530997,12.52,313.0,266.7167531844998,0.0854422809550263,0.164865805551173,8.54,16.49,2820.1420771834855,715505.3125,2.005171405150912,253.7125055821957,10.54242665525114
Chittagong,Lakshmipur,0.1130430314508918,11.3,387.0,385.2418198397983,0.0814229829851251,0.1446630799166585,8.14,14.47,1252.029815790069,1999879.5,12.673025740466143,1597.3098042701283,10.54242665525114
Chittagong,Noakhali,0.0548574608711491,5.49,455.0,451.9939387329506,0.0338653422353212,0.0758495795069771,3.39,7.58,2574.437250210915,3502176.0,10.923306769801787,1360.3656487308356,10.54242665525114
Chittagong,Rangamati,0.0876739342741091,8.77,266.0,219.93996124284388,0.0502960867078964,0.1250517818403218,5.03,12.51,5751.255816195601,699591.8125,1.0335429879728817,121.64157444187086,10.54242665525114
Dhaka,Dhaka,0.0614286405734918,6.14,749.0,730.4065672730546,0.044014869225703,0.0788424119212807,4.4,7.88,1476.0805122942809,15491425.0,92.28337145852694,10494.97291710842,10.54242665525114
Dhaka,Faridpur,0.0578480857671411,5.78,323.0,313.4803579278796,0.0320043157265657,0.0836918558077165,3.2,8.37,2043.691158388579,2022067.5,8.611138318712205,989.4193120619904,10.54242665525114
Dhaka,Gazipur,0.0984496525490524,9.84,241.0,216.42397722631156,0.0587574251422756,0.1381418799558292,5.88,13.81,1817.1381723080053,5702246.0,26.137308917562397,3138.0365493931563,10.54242665525114
Dhaka,Gopalganj,0.0171107098520644,1.71,321.0,298.4235029822798,0.0023968750979915,0.0318245446061372,0.24,3.18,1475.9250789396187,1139150.25,6.279389066815132,771.8211894728591,10.54242665525114
Dhaka,Kishoreganj,0.0157436887997193,1.57,374.0,355.8812596939811,0.0028103437528865,0.0286770338465521,0.28,2.87,2564.920741708569,3244271.75,10.70614281141409,1264.8623784916235,10.54242665525114
Dhaka,Madaripur,0.0106173610513984,1.06,300.0,271.1184033275926,0.0,0.0228175626754699,0.0,2.28,1135.273921356074,1192918.625,9.043291171386985,1050.776030841147,10.54242665525114
Dhaka,Manikganj,0.041570366143535,4.16,251.0,184.05979452862863,0.0127334611627968,0.0704072711242733,1.27,7.04,1374.2766240155127,1480515.5,9.46705907178392,1077.3053067540848,10.54242665525114
Dhaka,Munshiganj,0.0437304906652291,4.37,342.0,324.9598498571393,0.0214961862172884,0.0659647951131698,2.15,6.6,932.6802244338126,1550130.5,16.62570117013632,1662.0171194698733,10.54242665525114
Dhaka,Narayanganj,0.0404936198055627,4.05,336.0,330.404756283906,0.0192391556718985,0.061748083939227,1.92,6.17,703.5466059202208,3631421.5,46.27901182647704,5161.5933748272355,10.54242665525114
Dhaka,Narsingdi,0.0376036187175045,3.76,339.0,334.1291824616945,0.0172054735485044,0.0580017638865045,1.72,5.8,1167.7890294233407,2554271.0,19.314250499062368,2187.270933056556,10.54242665525114
Dhaka,Rajbari,0.1068306483354775,10.68,320.0,312.0890671783958,0.0725592652196254,0.1411020314513296,7.26,14.11,1139.2357933116043,1138760.0,8.68712143173184,999.5823574764788,10.54242665525114
Dhaka,Shariatpur,0.107870921578869,10.79,347.0,341.2954830500779,0.0749587269035477,0.1407831162541903,7.5,14.08,1241.2117985182485,1205278.125,8.911746927820417,971.0495230861115,10.54242665525114
Dhaka,Tangail,0.0814973091599621,8.15,268.0,266.6885791351891,0.0486601397236614,0.1143344785962628,4.87,11.43,3366.3759538274676,3812710.0,9.161424417906144,1132.585918000354,10.54242665525114
Khulna,Bagerhat,0.0784049076418162,7.84,329.0,325.1701800330243,0.0491874504695945,0.1076223648140379,4.92,10.76,3683.547509385748,1437338.125,3.239385732025864,390.20485587267046,10.54242665525114
Khulna,Chuadanga,0.0578247407292941,5.78,332.0,330.847023506941,0.0326731677824374,0.0829763136761507,3.27,8.3,1162.340455531146,1235024.125,8.569950420162236,1062.5321687144067,10.54242665525114
Khulna,Jessore,0.0591811554896854,5.92,311.0,285.05501515350625,0.0317883538739094,0.0865739571054615,3.18,8.66,2578.698791910438,3032265.0,10.185776765559497,1175.889564734133,10.54242665525114
Khulna,Jhenaidah,0.0654089460492224,6.54,329.0,323.14149087884323,0.0384508575553901,0.0923670345430548,3.85,9.24,1953.7504963480856,1920175.375,7.985093254875868,982.815041423742,10.54242665525114
Khulna,Khulna,0.0681762672609551,6.82,270.0,254.5482262005233,0.037212447755819,0.0991400867660911,3.72,9.91,3611.709035510623,2304300.75,5.448601495332406,638.0084130099972,10.54242665525114
Khulna,Kushtia,0.0760496185800124,7.6,316.0,313.2703724191218,0.0466954858037043,0.1054037513563204,4.67,10.54,1613.173136262863,2060347.0,10.870593138961874,1277.2014073908251,10.54242665525114
Khulna,Magura,0.0593909795697615,5.94,343.0,320.2305457682175,0.0335035155997852,0.0852784435397379,3.35,8.53,1048.7646157390948,1004946.4375,7.781294764187102,958.2192442598621,10.54242665525114
