model,rmse,mae,r2,division
ElasticNet,4.714255362346233e-05,4.5114593934163355e-05,0.9999994566578722,Barisal
ElasticNet,3.697811772902718e-05,3.0074995107065912e-05,0.9999989552769426,Chittagong
ElasticNet,3.0848738185521824e-05,2.4931911684103173e-05,0.9999990247653799,Dhaka
ElasticNet,2.9696522926229802e-05,2.534196530895826e-05,0.9999919654718523,Khulna
ElasticNet,5.4973136518682356e-05,5.3972545996517e-05,0.9999977911555259,Mymensingh
ElasticNet,3.5581296735617994e-05,2.5541030116814666e-05,0.9999957796536063,Rajshahi
ElasticNet,4.394678366402067e-05,3.6135737799050694e-05,0.9999967038961113,Rangpur
ElasticNet,2.7658758613967104e-05,2.1589681744486093e-05,0.9999990486018531,Sylhet
ElasticNet,3.7629704545844634e-05,3.1081439661163565e-05,0.9999991561341538,OVERALL
