GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,DISTRICT_NAME_RAW_gadm,DISTRICT_KEY,HH7,HH7A,n_children,n_eff,wt_prev_diarrhea,se,ci95_low,ci95_high,wt_prev_diarrhea_pct,ci95_low_pct,ci95_high_pct,DISTRICT_NAME_RAW_mics
BGD.2.10_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,Noakhali,NA,NA,Zila,Distict,2075,BD.CG.PC,Noakhali,NOAKHALI,Chattogram,Noakhali,455.0,451.9939387329506,0.0548574608711491,0.0107102646101162,0.0338653422353212,0.0758495795069771,5.49,3.39,7.58,Noakhali
BGD.2.11_1,BGD,Bangladesh,BGD.2_1,Chittagong,NA,Rangamati,NA,NA,Zila,Distict,2084,BD.CG.PC,Rangamati,RANGAMATI,Chattogram,Rangamati,266.0,219.93996124284388,0.0876739342741091,0.0190703303909248,0.0502960867078964,0.1250517818403218,8.77,5.03,12.51,Rangamati
BGD.3.1_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Dhaka,Daca|Dacca,NA,Zila,Distict,3026,BD.DH.DH,Dhaka,DHAKA,Dhaka,Dhaka,749.0,730.4065672730546,0.0614286405734918,0.0088845772182596,0.044014869225703,0.0788424119212807,6.14,4.4,7.88,Dhaka
BGD.3.2_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Faridpur,NA,NA,Zila,Distict,3029,BD.DH.TA,Faridpur,FARIDPUR,Dhaka,Faridpur,323.0,313.4803579278796,0.0578480857671411,0.0131855969594772,0.0320043157265657,0.0836918558077165,5.78,3.2,8.37,Faridpur
BGD.3.3_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Gazipur,NA,NA,Zila,Distict,3033,BD.DH.TA,Gazipur,GAZIPUR,Dhaka,Gazipur,241.0,216.42397722631156,0.0984496525490524,0.0202511364320289,0.0587574251422756,0.1381418799558292,9.84,5.88,13.81,Gazipur
BGD.3.4_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Gopalganj,NA,NA,Zila,Distict,3035,BD.DH.TA,Gopalganj,GOPALGANJ,Dhaka,Gopalganj,321.0,298.4235029822798,0.0171107098520644,0.0075070585479963,0.0023968750979915,0.0318245446061372,1.71,0.24,3.18,Gopalganj
BGD.3.6_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Kishoreganj,NA,NA,Zila,Distict,3048,BD.DH.TA,Kishoreganj,KISHOREGONJ,Dhaka,Kishoregonj,374.0,355.8812596939811,0.0157436887997193,0.0065986454320575,0.0028103437528865,0.0286770338465521,1.57,0.28,2.87,Kishoregonj
BGD.3.7_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Madaripur,NA,NA,Zila,Distict,3054,BD.DH.TA,Madaripur,MADARIPUR,Dhaka,Madaripur,300.0,271.1184033275926,0.0106173610513984,0.0062245926653426,0.0,0.0228175626754699,1.06,0.0,2.28,Madaripur
BGD.3.8_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Manikganj,NA,NA,Zila,Distict,3056,BD.DH.TA,Manikganj,MANIKGANJ,Dhaka,Manikganj,251.0,184.05979452862863,0.041570366143535,0.0147127066228256,0.0127334611627968,0.0704072711242733,4.16,1.27,7.04,Manikganj
BGD.3.9_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Munshiganj,NA,NA,Zila,Distict,3059,BD.DH.TA,Munshiganj,MUNSHIGANJ,Dhaka,Munshiganj,342.0,324.9598498571393,0.0437304906652291,0.0113440328816023,0.0214961862172884,0.0659647951131698,4.37,2.15,6.6,Munshiganj
BGD.3.11_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Narayanganj,NA,NA,Zila,Distict,3067,BD.DH.TA,Narayanganj,NARAYANGONJ,Dhaka,Narayangonj,336.0,330.404756283906,0.0404936198055627,0.0108441143539103,0.0192391556718985,0.061748083939227,4.05,1.92,6.17,Narayangonj
BGD.3.12_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Narsingdi,NA,NA,Zila,Distict,3068,BD.DH.TA,Narsingdi,NARSINGDI,Dhaka,Narsingdi,339.0,334.1291824616945,0.0376036187175045,0.0104072169229591,0.0172054735485044,0.0580017638865045,3.76,1.72,5.8,Narsingdi
BGD.3.14_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Rajbari,NA,NA,Zila,Distict,3082,BD.DH.TA,Rajbari,RAJBARI,Dhaka,Rajbari,320.0,312.0890671783958,0.1068306483354775,0.0174853995489041,0.0725592652196254,0.1411020314513296,10.68,7.26,14.11,Rajbari
BGD.3.15_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Shariatpur,NA,NA,Zila,Distict,3086,BD.DH.TA,Shariatpur,SHARIATPUR,Dhaka,Shariatpur,347.0,341.2954830500779,0.107870921578869,0.0167919360588374,0.0749587269035477,0.1407831162541903,10.79,7.5,14.08,Shariatpur
BGD.3.17_1,BGD,Bangladesh,BGD.3_1,Dhaka,NA,Tangail,NA,NA,Zila,Distict,3093,BD.DH.TA,Tangail,TANGAIL,Dhaka,Tangail,268.0,266.6885791351891,0.0814973091599621,0.0167536578756636,0.0486601397236614,0.1143344785962628,8.15,4.87,11.43,Tangail
BGD.4.1_1,BGD,Bangladesh,BGD.4_1,Khulna,NA,Bagerhat,NA,NA,Zila,Distict,4001,BD.KH.ST,Bagerhat,BAGERHAT,Khulna,Bagerhat,329.0,325.1701800330243,0.0784049076418162,0.0149068659041947,0.0491874504695945,0.1076223648140379,7.84,4.92,10.76,Bagerhat
BGD.4.2_1,BGD,Bangladesh,BGD.4_1,Khulna,NA,Chuadanga,NA,NA,Zila,Distict,4018,BD.KH.ST,Chuadanga,CHUADANGA,Khulna,Chuadanga,332.0,330.847023506941,0.0578247407292941,0.0128324351769676,0.0326731677824374,0.0829763136761507,5.78,3.27,8.3,Chuadanga
BGD.4.3_1,BGD,Bangladesh,BGD.4_1,Khulna,NA,Jessore,NA,NA,Zila,Distict,4041,BD.KH.ST,Jessore,JASHORE,Khulna,Jashore,311.0,285.05501515350625,0.0591811554896854,0.0139759191917224,0.0317883538739094,0.0865739571054615,5.92,3.18,8.66,Jashore
BGD.4.4_1,BGD,Bangladesh,BGD.4_1,Khulna,NA,Jhenaidah,NA,NA,Zila,Distict,4044,BD.KH.ST,Jhenaidah,JHENAIDAH,Khulna,Jhenaidah,329.0,323.14149087884323,0.0654089460492224,0.0137541267825675,0.0384508575553901,0.0923670345430548,6.54,3.85,9.24,Jhenaidah
BGD.4.5_1,BGD,Bangladesh,BGD.4_1,Khulna,NA,Khulna,NA,NA,Zila,Distict,4047,BD.KH.ST,Khulna,KHULNA,Khulna,Khulna,270.0,254.5482262005233,0.0681762672609551,0.0157978670944571,0.037212447755819,0.0991400867660911,6.82,3.72,9.91,Khulna
BGD.4.6_1,BGD,Bangladesh,BGD.4_1,Khulna,NA,Kushtia,NA,NA,Zila,Distict,4050,BD.KH.ST,Kushtia,KUSHTIA,Khulna,Kushtia,316.0,313.2703724191218,0.0760496185800124,0.0149765983552592,0.0466954858037043,0.1054037513563204,7.6,4.67,10.54,Kushtia
BGD.4.7_1,BGD,Bangladesh,BGD.4_1,Khulna,NA,Magura,NA,NA,Zila,Distict,4055,BD.KH.ST,Magura,MAGURA,Khulna,Magura,343.0,320.2305457682175,0.0593909795697615,0.0132078897806001,0.0335035155997852,0.0852784435397379,5.94,3.35,8.53,Magura
