NAME_1,DISTRICT_GADM,wt_prev_diarrhea,wt_prev_diarrhea_pct,n_children,n_eff,ci95_low_pct,ci95_high_pct,pop_total_wp19,pop_density19_km2,ann_precip_mm_per_day_2019,GID_2,GID_0,COUNTRY,GID_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,HH7,HH7A,se,ci95_low,ci95_high,wt_prev_diarrhea_feat,wt_prev_diarrhea_pct_feat,n_children_feat,n_eff_feat,ci95_low_feat,ci95_high_feat,ci95_low_pct_feat,ci95_high_pct_feat,area_km2,pop_mean_ppp19
Chittagong,Khagrachhari,0.1251540432530997,12.52,313.0,266.7167531844998,8.54,16.49,715505.3125,253.7125055821957,10.54242665525114,BGD.2.8_1,BGD,Bangladesh,BGD.2_1,NA,Khagrachhari,NA,NA,Zila,Distict,2046,BD.CG.PC,Chattogram,Khagrachhari,0.0202611032133027,0.0854422809550263,0.164865805551173,0.1251540432530997,12.52,313.0,266.7167531844998,0.0854422809550263,0.164865805551173,8.54,16.49,2820.142077183485,2.005171405150912
Chittagong,Lakshmipur,0.1130430314508918,11.3,387.0,385.2418198397983,8.14,14.47,1999879.5,1597.3098042701283,10.54242665525114,BGD.2.9_1,BGD,Bangladesh,BGD.2_1,NA,Lakshmipur,NA,NA,Zila,Distict,2051,BD.CG.PC,Chattogram,Lakshmipur,0.0161326777886564,0.0814229829851251,0.1446630799166585,0.1130430314508918,11.3,387.0,385.2418198397983,0.0814229829851251,0.1446630799166585,8.14,14.47,1252.029815790069,12.673025740466144
Chittagong,Noakhali,0.0548574608711491,5.49,455.0,451.9939387329506,3.39,7.58,3502176.0,1360.3656487308356,10.54242665525114,BGD.2.10_1,BGD,Bangladesh,BGD.2_1,NA,Noakhali,NA,NA,Zila,Distict,2075,BD.CG.PC,Chattogram,Noakhali,0.0107102646101162,0.0338653422353212,0.0758495795069771,0.0548574608711491,5.49,455.0,451.9939387329506,0.0338653422353212,0.0758495795069771,3.39,7.58,2574.437250210915,10.923306769801789
Chittagong,Rangamati,0.0876739342741091,8.77,266.0,219.93996124284388,5.03,12.51,699591.8125,121.64157444187086,10.54242665525114,BGD.2.11_1,BGD,Bangladesh,BGD.2_1,NA,Rangamati,NA,NA,Zila,Distict,2084,BD.CG.PC,Chattogram,Rangamati,0.0190703303909248,0.0502960867078964,0.1250517818403218,0.0876739342741091,8.77,266.0,219.93996124284388,0.0502960867078964,0.1250517818403218,5.03,12.51,5751.255816195601,1.0335429879728817
Dhaka,Dhaka,0.0614286405734918,6.14,749.0,730.4065672730546,4.4,7.88,15491425.0,10494.97291710842,10.54242665525114,BGD.3.1_1,BGD,Bangladesh,BGD.3_1,NA,Dhaka,Daca|Dacca,NA,Zila,Distict,3026,BD.DH.DH,Dhaka,Dhaka,0.0088845772182596,0.044014869225703,0.0788424119212807,0.0614286405734918,6.14,749.0,730.4065672730546,0.044014869225703,0.0788424119212807,4.4,7.88,1476.0805122942809,92.28337145852694
Dhaka,Faridpur,0.0578480857671411,5.78,323.0,313.4803579278796,3.2,8.37,2022067.5,989.4193120619904,10.54242665525114,BGD.3.2_1,BGD,Bangladesh,BGD.3_1,NA,Faridpur,NA,NA,Zila,Distict,3029,BD.DH.TA,Dhaka,Faridpur,0.0131855969594772,0.0320043157265657,0.0836918558077165,0.0578480857671411,5.78,323.0,313.4803579278796,0.0320043157265657,0.0836918558077165,3.2,8.37,2043.691158388579,8.611138318712205
Dhaka,Gazipur,0.0984496525490524,9.84,241.0,216.42397722631156,5.88,13.81,5702246.0,3138.0365493931563,10.54242665525114,BGD.3.3_1,BGD,Bangladesh,BGD.3_1,NA,Gazipur,NA,NA,Zila,Distict,3033,BD.DH.TA,Dhaka,Gazipur,0.0202511364320289,0.0587574251422756,0.1381418799558292,0.0984496525490524,9.84,241.0,216.4239772263116,0.0587574251422756,0.1381418799558292,5.88,13.81,1817.138172308005,26.1373089175624
Dhaka,Gopalganj,0.0171107098520644,1.71,321.0,298.4235029822798,0.24,3.18,1139150.25,771.8211894728591,10.54242665525114,BGD.3.4_1,BGD,Bangladesh,BGD.3_1,NA,Gopalganj,NA,NA,Zila,Distict,3035,BD.DH.TA,Dhaka,Gopalganj,0.0075070585479963,0.0023968750979915,0.0318245446061372,0.0171107098520644,1.71,321.0,298.4235029822798,0.0023968750979915,0.0318245446061372,0.24,3.18,1475.9250789396187,6.279389066815132
Dhaka,Kishoreganj,0.0157436887997193,1.57,374.0,355.8812596939811,0.28,2.87,,,,BGD.3.6_1,BGD,Bangladesh,BGD.3_1,NA,Kishoreganj,NA,NA,Zila,Distict,3048,BD.DH.TA,Dhaka,Kishoregonj,0.0065986454320575,0.0028103437528865,0.0286770338465521,,,,,,,,,,
Dhaka,Madaripur,0.0106173610513984,1.06,300.0,271.1184033275926,0.0,2.28,1192918.625,1050.776030841147,10.54242665525114,BGD.3.7_1,BGD,Bangladesh,BGD.3_1,NA,Madaripur,NA,NA,Zila,Distict,3054,BD.DH.TA,Dhaka,Madaripur,0.0062245926653426,0.0,0.0228175626754699,0.0106173610513984,1.06,300.0,271.1184033275926,0.0,0.0228175626754699,0.0,2.28,1135.273921356074,9.043291171386985
Dhaka,Manikganj,0.041570366143535,4.16,251.0,184.05979452862863,1.27,7.04,1480515.5,1077.3053067540848,10.54242665525114,BGD.3.8_1,BGD,Bangladesh,BGD.3_1,NA,Manikganj,NA,NA,Zila,Distict,3056,BD.DH.TA,Dhaka,Manikganj,0.0147127066228256,0.0127334611627968,0.0704072711242733,0.041570366143535,4.16,251.0,184.05979452862863,0.0127334611627968,0.0704072711242733,1.27,7.04,1374.2766240155129,9.46705907178392
Dhaka,Munshiganj,0.0437304906652291,4.37,342.0,324.9598498571393,2.15,6.6,1550130.5,1662.0171194698733,10.54242665525114,BGD.3.9_1,BGD,Bangladesh,BGD.3_1,NA,Munshiganj,NA,NA,Zila,Distict,3059,BD.DH.TA,Dhaka,Munshiganj,0.0113440328816023,0.0214961862172884,0.0659647951131698,0.0437304906652291,4.37,342.0,324.9598498571393,0.0214961862172884,0.0659647951131698,2.15,6.6,932.6802244338126,16.62570117013632
Dhaka,Narayanganj,0.0404936198055627,4.05,336.0,330.404756283906,1.92,6.17,,,,BGD.3.11_1,BGD,Bangladesh,BGD.3_1,NA,Narayanganj,NA,NA,Zila,Distict,3067,BD.DH.TA,Dhaka,Narayangonj,0.0108441143539103,0.0192391556718985,0.061748083939227,,,,,,,,,,
Dhaka,Narsingdi,0.0376036187175045,3.76,339.0,334.1291824616945,1.72,5.8,2554271.0,2187.270933056556,10.54242665525114,BGD.3.12_1,BGD,Bangladesh,BGD.3_1,NA,Narsingdi,NA,NA,Zila,Distict,3068,BD.DH.TA,Dhaka,Narsingdi,0.0104072169229591,0.0172054735485044,0.0580017638865045,0.0376036187175045,3.76,339.0,334.1291824616945,0.0172054735485044,0.0580017638865045,1.72,5.8,1167.7890294233407,19.314250499062368
Dhaka,Rajbari,0.1068306483354775,10.68,320.0,312.0890671783958,7.26,14.11,1138760.0,999.5823574764788,10.54242665525114,BGD.3.14_1,BGD,Bangladesh,BGD.3_1,NA,Rajbari,NA,NA,Zila,Distict,3082,BD.DH.TA,Dhaka,Rajbari,0.0174853995489041,0.0725592652196254,0.1411020314513296,0.1068306483354775,10.68,320.0,312.0890671783958,0.0725592652196254,0.1411020314513296,7.26,14.11,1139.2357933116043,8.68712143173184
Dhaka,Shariatpur,0.107870921578869,10.79,347.0,341.2954830500779,7.5,14.08,1205278.125,971.0495230861115,10.54242665525114,BGD.3.15_1,BGD,Bangladesh,BGD.3_1,NA,Shariatpur,NA,NA,Zila,Distict,3086,BD.DH.TA,Dhaka,Shariatpur,0.0167919360588374,0.0749587269035477,0.1407831162541903,0.107870921578869,10.79,347.0,341.2954830500779,0.0749587269035477,0.1407831162541903,7.5,14.08,1241.2117985182483,8.911746927820417
Dhaka,Tangail,0.0814973091599621,8.15,268.0,266.6885791351891,4.87,11.43,3812710.0,1132.585918000354,10.54242665525114,BGD.3.17_1,BGD,Bangladesh,BGD.3_1,NA,Tangail,NA,NA,Zila,Distict,3093,BD.DH.TA,Dhaka,Tangail,0.0167536578756636,0.0486601397236614,0.1143344785962628,0.0814973091599621,8.15,268.0,266.6885791351891,0.0486601397236614,0.1143344785962628,4.87,11.43,3366.375953827468,9.161424417906144
