model,rmse,mae,r2,division
XGBoost,0.05867374451429656,0.031074470858008706,0.1583436920559761,Barisal
XGBoost,0.02882648187509869,0.010141924900284814,0.3651152979109592,Chittagong
XGBoost,0.005228155104972937,0.003961413346253481,0.9719888314049949,Dhaka
XGBoost,0.002772069864522378,0.002334492707761096,0.9299904130134404,Khulna
XGBoost,0.004191379234822755,0.0031406517891179675,0.987159615761757,Mymensingh
XGBoost,0.0019706906682379543,0.001479411775381504,0.9870538249485453,Rajshahi
XGBoost,0.001877425440144838,0.001381610421063184,0.9939844949331631,Rangpur
XGBoost,0.002649133006002366,0.001884985944167192,0.991272206541171,Sylhet
XGBoost,0.02955935891314275,0.008180259217542672,0.47928293007527223,OVERALL
